ds;y
2018-03-20;473702.8074716755
2018-03-21;511008.8643691943
2018-03-22;469758.7229070513
2018-03-23;588344.3869257187
2018-03-24;850487.4991414661
2018-03-25;633595.4804833509
2018-03-26;486874.2456175435
2018-03-27;488778.3367567728
2018-03-28;513148.61030455027
2018-03-29;483690.0890669022
2018-03-30;536168.1326315225
2018-03-31;643831.7713229042
2018-04-02;407678.82142368396
2018-04-03;510722.83566679753
2018-04-04;540176.3610652855
2018-04-05;537494.8806328429
2018-04-06;753975.3754953846
2018-04-07;974737.5460964332
2018-04-08;723312.1129589992
2018-04-09;586549.8467121338
2018-04-10;605810.594353734
2018-04-11;667261.2326918284
2018-04-12;639885.2226596613
2018-04-13;725691.7461422267
2018-04-14;994109.4777329584
2018-04-15;800234.1017885279
2018-04-16;612770.948216451
2018-04-17;570545.73877309
2018-04-18;584232.0092570087
2018-04-19;594611.6043417152
2018-04-20;682298.4863117165
2018-04-21;919406.530498646
2018-04-22;783612.3554518119
2018-04-23;605454.5272717774
2018-04-24;582940.5606762915
2018-04-25;626002.4717160861
2018-04-26;598747.1638637041
2018-04-27;686965.5277479122
2018-04-28;912006.6684105535
2018-04-29;741870.5731680287
2018-04-30;823728.4414246108
2018-05-01;726436.2517977965
2018-05-02;674030.6623956956
2018-05-03;635964.4069165024
2018-05-04;733056.0189157608
2018-05-05;941757.9052378302
2018-05-06;605876.6805123723
2018-05-07;621699.4114668221
2018-05-08;606575.4988806132
2018-05-09;633382.4953945157
2018-05-10;687202.5836981555
2018-05-11;778699.5998992462
2018-05-12;954199.110173853
2018-05-13;729410.4961355269
2018-05-14;632534.6328808095
2018-05-15;658701.4179210666
2018-05-16;680192.2521175737
2018-05-17;646813.5239140725
2018-05-18;687340.8631147534
2018-05-19;911383.3674176245
2018-05-20;708776.1246400615
2018-05-21;620113.5369221411
2018-05-22;621889.7751640253
2018-05-23;674436.224038925
2018-05-24;648998.7832003842
2018-05-25;741337.583805255
2018-05-26;886341.5255333884
2018-05-27;675315.1921740167
2018-05-28;647420.4555616685
2018-05-29;610629.0570658271
2018-05-30;628759.1892930175
2018-05-31;632231.4811087963
2018-06-01;707626.2602670309
2018-06-02;802293.0832679841
2018-06-03;595018.1419612603
2018-06-04;589610.4987747573
2018-06-05;601137.0399666796
2018-06-06;629571.5591234835
2018-06-07;624344.0077250402
2018-06-08;712097.3044001621
2018-06-09;891202.766930127
2018-06-10;668104.2346502203
2018-06-11;625405.0582533503
2018-06-12;646832.2027479148
2018-06-13;662362.6239642733
2018-06-14;648062.7542717905
2018-06-15;702481.7538236011
2018-06-16;877251.0018989668
2018-06-17;688832.251556325
2018-06-18;625746.7369320005
2018-06-19;615782.3376329656
2018-06-20;661802.751768727
2018-06-21;620826.5021153925
2018-06-22;693650.5596583085
2018-06-23;828007.9912741135
2018-06-24;586156.9341084799
2018-06-25;644044.2152763566
2018-06-26;636838.1859497973
2018-06-27;663298.5465984165
2018-06-28;616403.1745272762
2018-06-29;676065.6696450623
2018-06-30;841860.3613311909
2018-07-01;675773.0023710929
2018-07-02;662159.8528057903
2018-07-03;662498.3619771979
2018-07-04;691723.5958860193
2018-07-05;755416.032494808
2018-07-06;614094.2464797052
2018-07-07;807532.3850347421
2018-07-08;623179.9482113398
2018-07-09;705393.5260140006
2018-07-10;694227.0234512202
2018-07-11;720458.7060848997
2018-07-12;696470.2615285581
2018-07-13;760522.3309149515
2018-07-14;923665.3336040932
2018-07-15;708562.8979729302
2018-07-16;720057.5218403926
2018-07-17;731256.4248842249
2018-07-18;723072.4866156871
2018-07-19;715655.2405534186
2018-07-20;727108.5545322746
2018-07-21;841100.9068106682
2018-07-22;652454.6766814343
2018-07-23;700947.9732226573
2018-07-24;686710.6336562965
2018-07-25;716650.4271751229
2018-07-26;698715.7801050099
2018-07-27;708372.5342757269
2018-07-28;762655.1677110435
2018-07-29;628914.5338004407
2018-07-30;686627.3471229872
2018-07-31;661194.4382932781
2018-08-01;673694.9555325209
2018-08-02;655715.3652362307
2018-08-03;709552.450988773
2018-08-04;800392.915360281
2018-08-05;651164.0881194507
2018-08-06;706667.3876947729
2018-08-07;700611.1550993214
2018-08-08;694145.8628069152
2018-08-09;678604.4739359209
2018-08-10;720602.9476538413
2018-08-11;920891.0291272174
2018-08-12;756914.5523276757
2018-08-13;747023.3995679708
2018-08-14;742877.0656539829
2018-08-15;770090.7640606717
2018-08-16;744263.6960833017
2018-08-17;748954.1609510721
2018-08-18;813823.8859010469
2018-08-19;695772.3031790507
2018-08-20;704818.54068026
2018-08-21;680988.8034012215
2018-08-22;661784.7396909815
2018-08-23;649770.5195614726
2018-08-24;696673.7864113244
2018-08-25;861971.8704260485
2018-08-26;740224.4489963395
2018-08-27;633342.0261983792
2018-08-28;637498.0329073367
2018-08-29;657665.172652184
2018-08-30;635937.7366726302
2018-08-31;663498.360838557
2018-09-01;819482.4033163211
2018-09-02;693402.9032524395
2018-09-03;602326.6294746952
2018-09-04;602722.2670815274
2018-09-05;620313.3704885454
2018-09-06;589559.1972078307
2018-09-07;621261.4590056724
2018-09-08;808380.1509171298
2018-09-09;680331.043680159
2018-09-10;604035.2741093745
2018-09-11;580062.7640574335
2018-09-12;638673.3113171005
2018-09-13;597820.575814916
2018-09-14;658281.5065270582
2018-09-15;933370.9542325138
2018-09-16;717677.888657165
2018-09-17;600632.9433681008
2018-09-18;579283.3648327977
2018-09-19;670296.4803808504
2018-09-20;586994.7373019429
2018-09-21;617807.3532040121
2018-09-22;944080.7675215111
2018-09-23;663395.7287153088
2018-09-24;589111.9681401169
2018-09-25;583704.9144046559
2018-09-26;692230.8716549729
2018-09-27;586153.0785188767
2018-09-28;626739.3628237676
2018-09-29;957362.8388637895
2018-09-30;706677.1764473245
2018-10-01;550017.3814970163
2018-10-02;505700.16198957775
2018-10-03;678092.1250227526
2018-10-04;562605.2921005994
2018-10-05;614104.4893994533
2018-10-06;951549.2861613106
2018-10-07;687412.273659034
2018-10-08;547727.4704929021
2018-10-09;553021.4269333343
